path,file_type,purpose,runtime_referenced,owner_reference,status,risk,recommended_action,target_phase
docs/VVIP_TIGER_FINAL_FRONTEND_SAFETY_SWEEP.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_FINAL_FRONTEND_SAFETY_SWEEP_REVIEW.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_FRONTEND_SAFE_BASELINE.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_LEGACY_AUTH_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_MANUAL_DB_APPLY_LOG.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_MEMORY_MAP.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_NAVIGATION_BUTTON_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_NAVIGATION_BUTTON_STABILITY_PATCH.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_NAVIGATION_SMOKE_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_OFFICIAL_PRIVATE_PROFILE_UI.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_OFFICIAL_PRODUCT_BLUEPRINT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_PAGE_FLOW_USER_JOURNEY_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_PAGE_FLOW_USER_JOURNEY_PATCH.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_POST_OPTIONS_TIGER_CARE.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_PROFILE_NAVIGATION_STABILITY_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_PROFILE_SOURCE_OF_TRUTH.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_PUBLIC_PAGES_CONSISTENCY_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_PUBLIC_PAGES_CONSISTENCY_PATCH.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_REPOSITORY_HOUSEKEEPING_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_VISUAL_TRUST_LAYER.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_VVIP_GATE_LOGIN.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/VVIP_TIGER_ZERO_VISIBLE_ERROR_EXPERIENCE.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/change-control/20260710-discovery-experience-shell.json,json,change control manifest,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/change-control/20260710-master-execution-roadmap.json,json,change control manifest,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/governance/VVIP_TIGER_FAST_FEELING_AND_INSTANT_UX_STANDARD.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/governance/VVIP_TIGER_SURGICAL_EXECUTION_RULE.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/VVIP_TIGER_48H_REAL_TRIAL_LAUNCH_PLAN.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr16/VVIP_TIGER_PR16_HTML_FILES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr16/VVIP_TIGER_PR16_LAUNCH_SHELL_INSPECTION.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr16/VVIP_TIGER_PR16_LINKS_AND_BUTTONS_SCAN.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr17/VVIP_TIGER_PR17_LAUNCH_SHELL_TARGET_SELECTION.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr17/VVIP_TIGER_PR17_TOP_ACTION_FILES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr17/VVIP_TIGER_PR17_TOP_HTML_FILES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr18/VVIP_TIGER_PR18_HTML_SCRIPT_REFERENCES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr18/VVIP_TIGER_PR18_LIVE_ACTION_SURFACE_SCAN.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr18/VVIP_TIGER_PR18_LIVE_RUNTIME_CANDIDATE_FILES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr18/VVIP_TIGER_PR18_LIVE_RUNTIME_TARGET_INSPECTION.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/launch/pr19/PR19_FIRST_NARROW_LAUNCH_SHELL_RUNTIME_GUARD_REPORT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/owner-control/README.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_DISCOVERY_EXPERIENCE_SPEC.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_EXECUTION_CHARTER.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_MASTER_EXECUTION_ROADMAP.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_MASTER_EXECUTION_ROADMAP.yaml,yaml,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_MASTER_EXECUTION_ROADMAP_COMPLETION.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_OWNER_MASTER_REFERENCE.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_PHASE_TRACKER.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_PR22_DISCOVERY_SHELL_COMPLETION.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/VVIP_TIGER_VALUES_AND_NAMES_CHARTER.md,markdown,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/owner-control/phase-status.json,json,owner control documentation,no,yes,needs_review,low,maintain_and_sync_with_phase_status,P01
docs/security/RPC_HARDENED_SECURITY_SCENARIOS_20260709.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/RPC_REVIEW_FINDINGS_20260709.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/SUPABASE_CLERK_SECURITY_AUDIT_LOCK_20260709.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/launch-hardening/pr14/VVIP_TIGER_PR14_CLERK_PRIVATE_PROFILE_LAUNCH_HARDENING_INSPECTION.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/launch-hardening/pr14/VVIP_TIGER_PR14_CLERK_PRIVATE_PROFILE_SAFE_FINDINGS.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/launch-hardening/pr15/VVIP_TIGER_PR15_CLERK_PRIVATE_PROFILE_RUNTIME_HARDENING.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/production-apply/SUPABASE_MANUAL_BACKUP_PRODUCTION_APPLY_PLAN_DRAFT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/retrofit-audit/VVIP_TIGER_EXISTING_CODE_PROTECTION_RETROFIT_AUDIT.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/retrofit-audit/VVIP_TIGER_EXISTING_CODE_PROTECTION_SCAN.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/retrofit-audit-classification/VVIP_TIGER_RETROFIT_AUDIT_CLASSIFICATION_PLAN.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/retrofit-audit-classification/VVIP_TIGER_RETROFIT_AUDIT_CLASSIFICATION_SUMMARY.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-hardening/VVIP_TIGER_SECRETS_LOGGING_B1_HARDENING_PREP.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-hardening/VVIP_TIGER_SECRETS_LOGGING_B1_REVIEW_QUEUE.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-hardening/VVIP_TIGER_SECRETS_LOGGING_B1_TOP_FILES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-hardening/first-target-inspection/VVIP_TIGER_B1_FIRST_RUNTIME_TARGET_INSPECTION.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-hardening/first-target-inspection/VVIP_TIGER_B1_FIRST_RUNTIME_TARGET_QUEUE.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-hardening/first-target-inspection/VVIP_TIGER_B1_RUNTIME_TARGET_CANDIDATES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-review/VVIP_TIGER_SECRETS_AND_LOGGING_FINDINGS.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-review/VVIP_TIGER_SECRETS_AND_LOGGING_REVIEW.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-review/VVIP_TIGER_SECRETS_AND_LOGGING_SUMMARY.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-triage/VVIP_TIGER_SECRETS_LOGGING_HIGH_RISK_FILES.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-triage/VVIP_TIGER_SECRETS_LOGGING_HIGH_RISK_SUMMARY.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-triage/VVIP_TIGER_SECRETS_LOGGING_HIGH_RISK_TRIAGE_PLAN.md,markdown,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/secrets-logging-triage/VVIP_TIGER_SECRETS_LOGGING_HIGH_RISK_TRIAGE_QUEUE.tsv,other,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
docs/security/sql-review/20260709_vvip_tiger_atomic_profile_resolver_rpc_hardened_review.sql,sql,repository asset,no,no,needs_review,low,maintain_and_sync_with_phase_status,deferred
email-templates/confirm-email-en.html,html,web page,no,no,active,low,review_in_target_phase,P02-P13
email-templates/confirm-email.html,html,web page,no,no,active,low,review_in_target_phase,P02-P13
enhanced-components.css,css,style sheet,yes,no,active,low,review_in_target_phase,deferred
firebase.json,json,repository asset,no,no,active,low,review_in_target_phase,deferred
icons/icon-192.png,other,repository asset,no,no,active,low,review_in_target_phase,deferred
icons/icon-192.svg,other,repository asset,no,no,active,low,review_in_target_phase,deferred
icons/icon-512.png,other,repository asset,no,no,active,low,review_in_target_phase,deferred
icons/icon-512.svg,other,repository asset,no,no,active,low,review_in_target_phase,deferred
icons/tiger-logo.png,other,repository asset,no,no,active,low,review_in_target_phase,deferred
index.html,html,web page,yes,no,active,low,review_in_target_phase,P02-P13
index.html.backup-before-firebase-clean,other,repository asset,no,no,active,low,review_in_target_phase,deferred
manifest.webmanifest,webmanifest,repository asset,yes,no,active,low,review_in_target_phase,deferred
privacy-policy.html,html,web page,yes,no,active,low,review_in_target_phase,P02-P13
private-profile.html,html,web page,no,no,active,low,review_in_target_phase,P02-P13
public-profile.html,html,web page,yes,no,active,low,review_in_target_phase,P02-P13
reset-password.html,html,web page,yes,no,active,low,review_in_target_phase,P02-P13
reset-password.js,javascript,javascript logic,yes,no,active,low,review_in_target_phase,deferred
scripts/profile-loader.js,javascript,runtime script asset,no,no,active,medium,review_in_target_phase,P02-P13
scripts/qa-smoke.sh,other,runtime script asset,no,no,active,medium,review_in_target_phase,P02-P13
scripts/require-auth.js,javascript,runtime script asset,no,no,active,medium,review_in_target_phase,P02-P13
scripts/supabase-auth-bridge.js,javascript,runtime script asset,no,no,active,medium,review_in_target_phase,P02-P13
scripts/supabase-config.js,javascript,runtime script asset,no,no,active,medium,review_in_target_phase,P02-P13
scripts/vvip-discovery-config.js,javascript,runtime script asset,yes,no,active,medium,review_in_target_phase,P02-P13
scripts/vvip-discovery-shell.js,javascript,runtime script asset,yes,no,active,medium,review_in_target_phase,P02-P13
scripts/vvip-safe-ux-guard.js,javascript,runtime script asset,yes,no,active,medium,review_in_target_phase,P02-P13
social-ui.js,javascript,javascript logic,yes,no,active,low,review_in_target_phase,deferred
styles/vvip-discovery-shell.css,css,runtime style asset,yes,no,active,low,review_in_target_phase,P02-P13
styles/vvip-visual-trust-layer.css,css,runtime style asset,yes,no,active,low,review_in_target_phase,P02-P13
styles.css,css,style sheet,yes,no,active,low,review_in_target_phase,deferred
supabase/.temp/cli-latest,other,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/.temp/gotrue-version,other,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/.temp/linked-project.json,json,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/.temp/pooler-url,other,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/.temp/postgres-version,other,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/.temp/project-ref,other,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/.temp/rest-version,other,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/.temp/storage-version,other,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/functions/phone-verification/index.ts,typescript,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/functions/send-verification-email/index.ts,typescript,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260626_parts_vehicle_registry_id_compat.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260627_vehicle_registry_compat.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260628_otp_codes_rls_open.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260702_ai_analytics_ads_tables.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260702_feed_posts_table.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260707_vvip_tiger_auth_profile_bridge.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260707_vvip_tiger_clerk_profiles_table.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260709_vvip_tiger_atomic_profile_resolver_rpc.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase/migrations/20260709_vvip_tiger_profiles_clerk_jwt_rls_bridge.sql,sql,supabase backend config and functions,no,no,active,medium,review_only_no_runtime_change_in_p01,P07-P08-P12
supabase-schema.sql,sql,repository asset,no,no,active,low,review_in_target_phase,deferred
sw.js,javascript,javascript logic,no,no,active,medium,review_in_target_phase,deferred
terms-of-service.html,html,web page,yes,no,active,low,review_in_target_phase,P02-P13
vvip-identity.css,css,style sheet,yes,no,active,low,review_in_target_phase,deferred
