task_code,phase_code,task_title,priority,wave,workflow_status,baseline_status,goal,user_benefit,platform_benefit,prerequisites,responsible_roles,estimate,reference_path
G13-03,G13,الدعوات والمشاركة الخاصة,P1 — عالٍ,W1 — المنتج الأساسي,backlog,جزئي — نماذج وتجربة,دعوات محدودة قابلة للإلغاء والانتهاء.,مشاركة موثوقة مع أشخاص محددين.,نمو منضبط وميزة حصرية.,قرارات G13 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend + Frontend (R)، Product Owner (A)، Privacy/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/notifications — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G14-01,G14,نظام البلاغات الموحد,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم وإجراءات تحتاج Backend تشغيلي,بلاغ عن إعلان أو مستخدم أو رسالة.,طريقة سهلة للحماية وطلب المراجعة.,مصدر مركزي لإدارة المخاطر.,قرارات G14 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Trust & Safety Lead + Backend (R)، Product Owner (A)، Legal/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/trust-safety — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G14-02,G14,سير المراجعة والعقوبات,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم وإجراءات تحتاج Backend تشغيلي,تحذير وتعليق وحظر وإزالة بمبررات.,قرارات أكثر عدلًا وشفافية.,حماية السمعة وتقليل المخالفات.,قرارات G14 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Trust & Safety Lead + Backend (R)، Product Owner (A)، Legal/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/trust-safety — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G14-03,G14,الاستئناف ومكافحة الاحتيال,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم وإجراءات تحتاج Backend تشغيلي,اعتراض المستخدم وإشارات احتيال أولية.,فرصة عادلة لتصحيح القرار.,خفض الأخطاء وتحسين جودة المراجعة.,قرارات G14 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Trust & Safety Lead + Backend (R)، Product Owner (A)، Legal/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/trust-safety — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G15-01,G15,نظام تذاكر Tiger Care,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم وإجراءات تحتاج نظام تذاكر فعلي,إنشاء ومتابعة تذكرة دعم.,يحصل على مساعدة منظمة.,تتبع الطلبات بدل الرسائل المبعثرة.,قرارات G15 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Support Lead + Full-Stack (R)، Operations (A)، Localization/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/support — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G15-02,G15,SLA والتصعيد والتوجيه,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم وإجراءات تحتاج نظام تذاكر فعلي,تحديد وقت الاستجابة وتحويل التذكرة.,استجابة أسرع وأكثر عدلًا.,قياس أداء الدعم ومنع النسيان.,قرارات G15 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Support Lead + Full-Stack (R)، Operations (A)، Localization/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/support — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G15-03,G15,الدعم متعدد اللغات وقياس الرضا,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم وإجراءات تحتاج نظام تذاكر فعلي,قوالب وترجمة وتقييم بعد الإغلاق.,دعم بلغته وتحسين مستمر.,معرفة جودة الخدمة والفجوات.,قرارات G15 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Support Lead + Full-Stack (R)، Operations (A)، Localization/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/support — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G16-01,G16,مصفوفة الأدوار والصلاحيات,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — لوحات تجريبية وصلاحيات إنتاجية غير مكتملة,Owner وGlobal/Country/Region/Sector Admin وModerator وSupport.,حماية بياناته من وصول غير ضروري.,مبدأ أقل صلاحية وتوسع إداري.,قرارات G16 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Admin + Security (R)، Owner (A)، QA/Operations (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/admin — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G16-02,G16,لوحة الإدارة العالمية,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — لوحات تجريبية وصلاحيات إنتاجية غير مكتملة,إدارة المستخدمين والدول والقطاعات والمحتوى.,قرارات أسرع وشكاوى أقل.,تشغيل المنصة من دون تعديل الكود.,قرارات G16 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Admin + Security (R)، Owner (A)، QA/Operations (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/admin — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G16-03,G16,Audit Logs وتقارير المالك,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — لوحات تجريبية وصلاحيات إنتاجية غير مكتملة,سجل غير قابل للتلاعب للإجراءات الحساسة.,ثقة أعلى عند النزاع.,تحقيقات وأمن وامتثال.,قرارات G16 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Admin + Security (R)، Owner (A)، QA/Operations (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/admin — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G17-01,G17,الباقات والاستحقاقات,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,لم يبدأ إنتاجيًا,تعريف ما يحصل عليه كل اشتراك.,يعرف حدوده ومزاياه بوضوح.,مصدر دخل ومنطق مركزي للميزات.,قرارات G17 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Payment (R)، Owner/Finance (A)، Legal/Tax/Security/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/billing — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G17-02,G17,Hosted Checkout وWebhooks,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,لم يبدأ إنتاجيًا,دفع لدى مزود خارجي مع معالجة موثوقة.,دفع آمن وسهل.,تقليل نطاق بيانات البطاقات.,قرارات G17 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Payment (R)، Owner/Finance (A)، Legal/Tax/Security/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/billing — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G17-03,G17,الفواتير والتجديد والإلغاء والاسترداد,P1 — عالٍ,W2 — التشغيل والإيراد والتجربة العالمية,backlog,لم يبدأ إنتاجيًا,إدارة دورة الاشتراك كاملة.,شفافية وتحكم مالي.,خفض النزاعات والتسرب المالي.,قرارات G17 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Backend/Payment (R)، Owner/Finance (A)، Legal/Tax/Security/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/billing — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G18-01,G18,نظام الترجمة العالمي,P2 — لاحق,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم RTL/Responsive دون PWA عالمية مكتملة,فصل النصوص وترجمتها وإدارة fallback.,استخدام بلغته الطبيعية.,فتح أسواق جديدة دون نسخ تطبيق.,قرارات G18 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Frontend/PWA (R)، Product Owner (A)، Accessibility/Localization/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/experience-pwa — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G18-02,G18,الوصول WCAG وRTL/LTR,P2 — لاحق,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم RTL/Responsive دون PWA عالمية مكتملة,تباين ولوحة مفاتيح وقارئ شاشة واتجاهات.,استخدام المنصة لمستخدمين أكثر.,امتثال وتقليل إعادة البناء.,قرارات G18 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Frontend/PWA (R)، Product Owner (A)، Accessibility/Localization/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/experience-pwa — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G18-03,G18,PWA وتجارب الهاتف,P2 — لاحق,W2 — التشغيل والإيراد والتجربة العالمية,backlog,جزئي — تصميم RTL/Responsive دون PWA عالمية مكتملة,تثبيت، تحديث آمن، Offline Shell، Push وDeep Links.,تجربة قريبة من التطبيق دون تنزيل متجر.,إطلاق أسرع وأقل تكلفة.,قرارات G18 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Frontend/PWA (R)، Product Owner (A)، Accessibility/Localization/QA (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/experience-pwa — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G19-01,G19,نظام الأحداث والتحليلات,P2 — لاحق,W3 — الذكاء والمرونة والامتثال,backlog,لم يبدأ إنتاجيًا,قياس التسجيل والنشر والبحث والمحادثة والاشتراك.,تحسينات مبنية على سلوكه الحقيقي.,قرارات منتج وتسويق دقيقة.,قرارات G19 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Analytics/Backend (R)، Product Owner (A)، Privacy/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/analytics-ai — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G19-02,G19,لوحات مؤشرات التشغيل,P2 — لاحق,W3 — الذكاء والمرونة والامتثال,backlog,لم يبدأ إنتاجيًا,Funnels، retention، moderation، support، revenue.,خدمة أسرع وجودة أفضل.,كشف الاختناقات والمشكلات.,قرارات G19 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Analytics/Backend (R)، Product Owner (A)، Privacy/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/analytics-ai — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G19-03,G19,AI محدود وآمن,P2 — لاحق,W3 — الذكاء والمرونة والامتثال,backlog,لم يبدأ إنتاجيًا,اقتراح فئة وتحسين وصف وإشارات مخالفة.,يوفر الوقت ويحسن الإعلان.,جودة محتوى أعلى دون مخاطرة قرارات آلية نهائية.,قرارات G19 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Analytics/Backend (R)، Product Owner (A)، Privacy/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/analytics-ai — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G20-01,G20,اختبارات الأداء والضغط,P1 — عالٍ,W3 — الذكاء والمرونة والامتثال,backlog,جزئي — وثائق وحراس محليون دون تشغيل عالمي كامل,قياس السعة والاستجابة تحت حمل حقيقي.,سرعة وثبات في أوقات الذروة.,تحديد السعة قبل الأعطال.,قرارات G20 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,SRE/Backend (R)، Technical Lead (A)، QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/reliability — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G20-02,G20,التحسين والتوسع,P1 — عالٍ,W3 — الذكاء والمرونة والامتثال,backlog,جزئي — وثائق وحراس محليون دون تشغيل عالمي كامل,فهارس وCache وطوابير وAutoscaling.,استجابة أسرع عالميًا.,خفض التكلفة لكل مستخدم.,قرارات G20 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,SRE/Backend (R)، Technical Lead (A)، QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/reliability — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G20-03,G20,التعافي من الكوارث,P1 — عالٍ,W3 — الذكاء والمرونة والامتثال,backlog,جزئي — وثائق وحراس محليون دون تشغيل عالمي كامل,RPO/RTO واستعادة واختبار انقطاع.,حماية بياناته واستمرارية الخدمة.,تقليل أثر الحوادث الكبرى.,قرارات G20 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,SRE/Backend (R)، Technical Lead (A)، QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/reliability — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G21-01,G21,الشروط والخصوصية وسياسات المحتوى,P1 — عالٍ,W3 — الذكاء والمرونة والامتثال,backlog,جزئي — وثائق أولية ومراجعة قانونية عالمية غير مكتملة,وثائق واضحة متعددة اللغات حسب الدولة.,يعرف حقوقه والتزاماته.,تقليل المخاطر القانونية والنزاعات.,قرارات G21 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Legal/Privacy + Product (R)، Owner (A)، Backend/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/compliance — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G21-02,G21,الاحتفاظ والحذف وطلبات البيانات,P1 — عالٍ,W3 — الذكاء والمرونة والامتثال,backlog,جزئي — وثائق أولية ومراجعة قانونية عالمية غير مكتملة,سياسة عملية وليست نصًا فقط.,تنزيل وحذف بياناته عند الاستحقاق.,امتثال وتقليل البيانات الزائدة.,قرارات G21 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Legal/Privacy + Product (R)، Owner (A)، Backend/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/compliance — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G21-03,G21,القاصرين والموردين والامتثال المحلي,P1 — عالٍ,W3 — الذكاء والمرونة والامتثال,backlog,جزئي — وثائق أولية ومراجعة قانونية عالمية غير مكتملة,تحديد العمر وإدارة عقود الموردين وقواعد الدول.,حماية أوضح للفئات الحساسة.,خفض التعرض التنظيمي.,قرارات G21 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Legal/Privacy + Product (R)، Owner (A)، Backend/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/compliance — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G22-01,G22,الاختبارات النهائية الخارجية,P1 — عالٍ,W4 — الاختبار والإطلاق العالمي,backlog,لم يبدأ إطلاقًا حقيقيًا,Penetration وE2E وMobile وPayment وRLS وRestore.,إطلاق أكثر أمانًا واستقرارًا.,منع عيوب حرجة قبل السمعة والإيراد.,قرارات G22 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,QA/Release/SRE (R)، Owner + Technical Lead (A)، كل الفرق (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/launch — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G22-02,G22,Global Closed Beta,P1 — عالٍ,W4 — الاختبار والإطلاق العالمي,backlog,لم يبدأ إطلاقًا حقيقيًا,100-300 مستخدم من لغات ومناطق متعددة.,تجربة مبكرة ودعم مباشر.,تعلم واقعي دون مخاطرة فتح واسع.,قرارات G22 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,QA/Release/SRE (R)، Owner + Technical Lead (A)، كل الفرق (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/launch — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G22-03,G22,Public Beta ثم Global GA,P1 — عالٍ,W4 — الاختبار والإطلاق العالمي,backlog,لم يبدأ إطلاقًا حقيقيًا,فتح تدريجي للدول والاشتراكات مع مراقبة وتراجع.,خدمة عالمية حقيقية مستقرة.,بدء الإيرادات والنمو المنضبط.,قرارات G22 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,QA/Release/SRE (R)، Owner + Technical Lead (A)، كل الفرق (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/launch — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
